treat.pair,site,disturbance.type,disturbed/control,metric,value,lowCI,uppCI
5,Reserva Ducke,fragmentation,control,mean.can.ht,22.91538281,22.48703997,23.34372566
5,Reserva Ducke,fragmentation,control,sd.can.ht,4.391851201,4.170357508,4.613344894
5,UFAM,fragmentation,disturbed,ERR,0.550491236,0.529732082,0.57125039
5,UFAM,fragmentation,disturbed,gap.frac,0.024556489,0.015089129,0.03402385
5,UFAM,fragmentation,disturbed,hetero.frac,1.2,NA,NA
5,UFAM,fragmentation,disturbed,ht.light50,15.85714286,15.11696584,16.59731987
5,UFAM,fragmentation,disturbed,lahv,72.77568648,68.68480437,76.86656858
5,UFAM,fragmentation,disturbed,lai,5.789390167,5.602166256,5.976614079
5,UFAM,fragmentation,disturbed,lai50,11.34453782,10.76471506,11.92436057
5,UFAM,fragmentation,disturbed,lawh,12.38454673,11.91089061,12.85820284
5,UFAM,fragmentation,disturbed,max.can.ht,35,NA,NA
5,UFAM,fragmentation,disturbed,mean.can.ht,19.4646237,18.74072163,20.18852577
5,UFAM,fragmentation,disturbed,sd.can.ht,3.676682281,3.327771654,4.025592909
6,Alter do Chão,fragmentation,control,ERR,0.54110482,0.521377483,0.560832157
6,Alter do Chão,fragmentation,control,gap.frac,0.106412037,0.081320692,0.131503382
6,Alter do Chão,fragmentation,control,hetero.frac,1.363636364,NA,NA
6,Alter do Chão,fragmentation,control,ht.light50,12.20833333,11.46141257,12.95525409
6,Alter do Chão,fragmentation,control,lahv,52.52496092,48.80633504,56.2435868
6,Alter do Chão,fragmentation,control,lai,4.96953037,4.785451065,5.153609675
6,Alter do Chão,fragmentation,control,lai50,9.35,8.76703133,9.93296867
6,Alter do Chão,fragmentation,control,lawh,10.30766607,9.825422541,10.7899096
6,Alter do Chão,fragmentation,control,max.can.ht,33,NA,NA
6,Alter do Chão,fragmentation,control,mean.can.ht,15.45497576,14.68643739,16.22351412
6,Alter do Chão,fragmentation,control,sd.can.ht,3.603006718,3.291145326,3.914868109
6,Alter do Chão,fragmentation,disturbed,ERR,0.543710727,0.534540061,0.552881394
6,Alter do Chão,fragmentation,disturbed,gap.frac,0.070395669,0.060184437,0.080606901
6,Alter do Chão,fragmentation,disturbed,hetero.frac,1.272727273,NA,NA
6,Alter do Chão,fragmentation,disturbed,ht.light50,11.74499089,11.46772998,12.0222518
6,Alter do Chão,fragmentation,disturbed,lahv,47.1136052,45.65646826,48.57074213
6,Alter do Chão,fragmentation,disturbed,lai,4.642128024,4.550546562,4.733709485
6,Alter do Chão,fragmentation,disturbed,lai50,9.37704918,9.143355618,9.610742742
6,Alter do Chão,fragmentation,disturbed,lawh,10.02060868,9.826055892,10.21516148
6,Alter do Chão,fragmentation,disturbed,max.can.ht,26,NA,NA
6,Alter do Chão,fragmentation,disturbed,mean.can.ht,13.53474081,13.25765111,13.81183051
6,Alter do Chão,fragmentation,disturbed,sd.can.ht,2.724530338,2.608291093,2.840769584
7,Careiro Castanho,fire (terra firme),control,ERR,0.562729125,0.541561179,0.58389707
7,Careiro Castanho,fire (terra firme),control,gap.frac,0.01,0.004131907,0.015868093
7,Careiro Castanho,fire (terra firme),control,hetero.frac,1.1875,NA,NA
7,Careiro Castanho,fire (terra firme),control,ht.light50,16.225,15.54340137,16.90659863
7,Careiro Castanho,fire (terra firme),control,lahv,78.995756,75.37020857,82.62130344
7,Careiro Castanho,fire (terra firme),control,lai,6.23667647,6.077144331,6.396208609
7,Careiro Castanho,fire (terra firme),control,lai50,11.14166667,10.6516415,11.63169183
7,Careiro Castanho,fire (terra firme),control,lawh,12.55446599,12.16953725,12.93939473
7,Careiro Castanho,fire (terra firme),control,max.can.ht,34,NA,NA
7,Careiro Castanho,fire (terra firme),control,mean.can.ht,22.07842171,21.42859584,22.72824758
7,Careiro Castanho,fire (terra firme),control,sd.can.ht,4.306938331,3.996326714,4.617549947
7,Careiro Castanho,fire (terra firme),disturbed,ERR,0.558846669,0.537123885,0.580569454
7,Careiro Castanho,fire (terra firme),disturbed,gap.frac,0.024166667,0.014057016,0.034276317
7,Careiro Castanho,fire (terra firme),disturbed,hetero.frac,1.285714286,NA,NA
